epoch,train_loss,train_acc,val_loss,val_acc
1,0.7995561297035217,0.88476,0.7610869342803955,0.9018
2,0.6653237544250489,0.94166,0.6968998910903931,0.9231
3,0.6207142096710205,0.95914,0.6655966327667237,0.935
4,0.590349246673584,0.97166,0.6423195870399475,0.9468
5,0.5664993943786621,0.9802,0.6413987077713013,0.9449
6,0.5466322059440613,0.98764,0.6189278713226318,0.9534
7,0.5340819675445556,0.99226,0.6157115898132324,0.9535
8,0.5244253038787842,0.99512,0.6021594436645508,0.9591
9,0.5170588531303406,0.9973,0.5990280710220337,0.9602
10,0.5107062485885621,0.99892,0.5935804675102234,0.9634
11,0.5070534465408325,0.9996,0.588659824180603,0.9637
12,0.505611312084198,0.99974,0.5847567808151245,0.965
13,0.5043711412239075,0.99994,0.585680954837799,0.9663
14,0.5039400264167786,0.99988,0.5843757967948914,0.9662
15,0.5036602170181275,0.99994,0.5841884222984314,0.9662
