epoch,train_loss,train_acc,val_loss,val_acc
1,0.0023510630987249896,0.96275,0.0005067353852296946,0.976
2,0.00022634186781178868,0.98375,0.00023320663402173522,0.9854
3,8.476443386343817e-05,0.9903,0.0002676388525578659,0.985
4,4.23292607113126e-05,0.99225,0.0002476238438909604,0.9852
5,4.1605512230154315e-05,0.99275,0.00020147515445642056,0.9838
6,9.47367085593001e-05,0.98965,0.0004456833748903591,0.9822
7,4.189854995322548e-05,0.9925,0.0001665862082307285,0.9892
8,1.3358340666692924e-05,0.9966,0.00020757576219748443,0.9876
9,1.850991102376014e-05,0.9951,0.00021358589793235295,0.987
10,7.5840931785670305e-06,0.9969,0.00020881508845941424,0.9894
11,4.454032018561805e-06,0.99845,0.0002180884101348056,0.9904
12,5.269957303246997e-06,0.9971,0.0002205003914586996,0.9904
13,6.180790918406842e-06,0.99775,0.0002499093559781613,0.9888
14,6.87682172273103e-06,0.9982,0.0002124885195110437,0.9904
15,4.374798731380736e-06,0.9989,0.00019497138864433056,0.991
