epoch,train_loss,train_acc,val_loss,val_acc
1,0.25954494590759275,0.96885,0.2548893265724182,0.9714
2,0.24078446617126464,0.979,0.25830599756240846,0.9628
3,0.23116695954799651,0.98365,0.2357237758398056,0.9816
4,0.2270627985239029,0.985,0.23223431119918822,0.984
5,0.22080672991275788,0.98915,0.2341995635986328,0.9784
6,0.21703392634391785,0.99105,0.23046489014625549,0.9806
7,0.21257301745414733,0.9936,0.22327318677902222,0.9866
8,0.20830947728157043,0.9956,0.22592194299697876,0.9852
9,0.20385321757793426,0.99785,0.21944408707618712,0.9888
10,0.20301103174686433,0.9983,0.22314570770263673,0.9864
11,0.20197075629234315,0.99865,0.2178637418270111,0.9886
12,0.20116506905555726,0.999,0.2156847356081009,0.9908
13,0.20055379180908203,0.9992,0.2154167513847351,0.9908
14,0.2000918487548828,0.99945,0.2157638485431671,0.9912
15,0.19969189460277556,0.9998,0.21642685775756837,0.9906
