epoch,train_loss,train_acc,val_loss,val_acc
1,0.04736972917154431,0.8847,0.014081729388423263,0.9201
2,0.01038758159799734,0.93314,0.011904074935615063,0.926
3,0.002205751538995537,0.96188,0.005708459911379032,0.9443
4,0.0007274215022867429,0.9781,0.005960975945135579,0.9444
5,0.029666935596065595,0.90786,0.008777631749585272,0.9334
6,0.0019442042809713167,0.96426,0.004974382022814825,0.9477
7,0.0006767983303542496,0.97824,0.004415820583701133,0.9496
8,0.00035054304173558193,0.98342,0.00415743113476783,0.9522
9,0.00023407696969763493,0.98636,0.003961322029167786,0.9544
10,0.00016765926089115966,0.98892,0.004232444349152501,0.9532
11,9.59226575590219e-05,0.99176,0.003468974720564438,0.957
12,6.077486547525041e-05,0.99372,0.003347565972607117,0.9563
13,4.3171090933137746e-05,0.9949,0.0035423207332001766,0.9566
14,3.7548669643376794e-05,0.99546,0.003314804685152194,0.9571
15,3.217970474002868e-05,0.99614,0.003406688635685714,0.9577
