epoch,train_loss,train_acc,val_loss,val_acc
1,0.25795844988822936,0.97005,0.25268588833808897,0.9706
2,0.2318114729642868,0.983,0.23680320210456848,0.9796
3,0.22123773865699767,0.98905,0.23689214963912963,0.9802
4,0.21756768152713776,0.9909,0.23445321016311646,0.98
5,0.21509529941082,0.99185,0.23176364870071411,0.9796
6,0.21273512196540834,0.9931,0.22906878380775453,0.9834
7,0.2069990152359009,0.9963,0.22534875540733337,0.984
8,0.20460563650131225,0.9977,0.2264799386024475,0.9842
9,0.2029170608997345,0.9984,0.22543389751911164,0.9846
10,0.2015619779586792,0.9991,0.22294490175247192,0.987
11,0.2004775378704071,0.9993,0.22000590553283692,0.989
12,0.20032620024681091,0.9996,0.21998376643657686,0.9878
13,0.20007350261211396,0.9996,0.22025871198177338,0.9878
14,0.19977024483680725,0.9998,0.21927871112823485,0.9886
15,0.1997815051794052,0.99975,0.21889975929260255,0.9882
